timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,azimuth,filtered_accel_x,filtered_accel_y,filtered_accel_z,device_state
1772124640625,-1.98681608,2.90458728,9.03001525,0.017319319,0.009383675,-0.008828835,17.439856,-11.829849,0.0,-1.8775729,2.77122977,8.56258457,STATIONARY
1772124640627,-1.99061015,2.90037098,9.04522724,0.018063736,0.010504739,-0.007398295,17.38838,-11.835803,0.0,-1.89003288,2.74474623,8.58694194,STATIONARY
1772124640629,-2.01190424,2.88414486,9.03175011,0.020737251,0.012856963,-0.008820334,17.311956,-11.980567,0.0,-1.91112977,2.75379389,8.57345182,STATIONARY
1772124640631,-2.02443086,2.83435871,9.03997349,0.022609226,0.01500273,-0.008528067,17.011916,-12.061853,0.0,-1.9199671,2.70018969,8.59109548,STATIONARY
1772124640633,-2.05235565,2.90116503,9.01651815,0.024830925,0.016719709,-0.008846924,17.418528,-12.225929,0.0,-1.96384347,2.75011235,8.5694106,STATIONARY
1772124640635,-2.09453944,2.90450589,9.05495539,0.022445568,0.014512947,-0.006193749,17.354677,-12.421642,0.0,-1.97266313,2.77683888,8.5901658,STATIONARY
1772124640637,-2.03525859,2.85955019,9.05134259,0.019237396,0.012313761,-0.005912238,17.130839,-12.101645,0.0,-1.92799862,2.72777199,8.61112038,STATIONARY
1772124640639,-2.10444234,2.93545352,9.03884675,0.021112745,0.013645224,-0.006854682,17.552172,-12.485943,0.0,-2.00633768,2.78573855,8.60389466,STATIONARY
1772124640641,-2.14005859,2.89928961,9.02785486,0.019275234,0.01085517,-0.004287409,17.353475,-12.718406,0.0,-2.03839486,2.7507664,8.57909312,STATIONARY
1772124640643,-2.11647568,2.9058692,9.03416865,0.018373419,0.012084662,-0.003203064,17.389188,-12.572438,0.0,-2.01458226,2.76363298,8.56609595,STATIONARY
1772124640645,-2.06170723,2.897404,9.00677273,0.014987929,0.011995924,-0.003476596,17.410437,-12.293075,0.0,-1.95490672,2.76207256,8.54303439,STATIONARY
1772124640647,-2.06327299,2.96181018,9.05448692,0.015460358,0.014328089,-0.004775988,17.689248,-12.220394,0.0,-1.96349211,2.80646939,8.60971312,STATIONARY
1772124640649,-2.10166848,3.02664425,9.0401601,0.019561917,0.01324133,-0.001105976,18.061317,-12.432226,0.0,-1.99970376,2.87693516,8.58070414,STATIONARY
