timestamp,touch_type,start_x,start_y,end_x,end_y,pressure,touch_size,duration_ms,velocity,acceleration,hold_duration_ms,touch_area
1772124713404,SWIPE_LEFT,221.02723,1620.30001,-209.63176,1602.94616,1.0,1.0,232,1857.7952,0,232,1.0
1772124716167,TAP,946.55791,1789.14813,944.51458,1790.32904,1.0,1.0,90,0.0,0.0,90,1.0
1772124715212,SWIPE_RIGHT,396.99332,350.44025,652.89809,307.86491,1.0,1.0,50,5188.4453,486.0617,50,1.0
1772124719365,SWIPE_LEFT,652.55114,1109.61668,208.12816,1079.95277,1.0,1.0,104,4282.8064,758.3508,104,1.0
1772124715620,SWIPE_UP,338.5354,834.97725,372.51471,433.3831,1.0,1.0,50,8060.582,95.5702,50,1.0
1772124716644,SWIPE_DOWN,819.71647,520.12417,850.08046,818.28424,1.0,1.0,64,4682.8466,175.0861,64,1.0
1772124719860,SWIPE_UP,382.09375,1213.58281,410.70331,643.37923,1.0,1.0,204,2798.6317,134.6277,204,1.0
1772124731520,SWIPE_DOWN,476.4435,1048.64107,483.31573,1474.48046,1.0,1.0,163,2612.8518,25.243,163,1.0
1772124729956,TAP,204.78616,893.39299,203.56956,891.95972,1.0,1.0,121,0.0,0.0,121,1.0
1772124739945,SWIPE_UP,601.90224,484.44788,562.10126,18.72626,1.0,1.0,167,2798.9176,0,167,1.0
1772124724084,SWIPE_UP,177.8645,933.57438,158.27284,458.23863,1.0,1.0,229,2077.4643,224.4937,229,1.0
1772124726736,TAP,534.98525,332.65228,534.86995,333.33715,1.0,1.0,70,0.0,0.0,70,1.0
1772124749248,SWIPE_UP,257.62635,606.90694,271.67927,193.93761,1.0,1.0,77,5366.3424,114.612,77,1.0
1772124744942,SWIPE_DOWN,949.50895,1744.4031,1008.32347,2198.31539,1.0,1.0,124,3691.1839,0,124,1.0
1772124728090,SWIPE_LEFT,789.07188,1446.52806,579.25705,1389.67808,1.0,1.0,199,1092.3632,0,199,1.0
1772124722539,SWIPE_LEFT,65.97313,1577.42988,-283.16693,1506.23191,1.0,1.0,186,1915.729,406.1201,186,1.0
1772124730140,SWIPE_UP,557.62556,780.56747,614.62256,214.89787,1.0,1.0,136,4180.3961,120.8479,136,1.0
1772124737442,SWIPE_DOWN,644.48619,1114.22698,645.487,1421.20951,1.0,1.0,152,2019.6326,54.7902,152,1.0
1772124743176,SWIPE_DOWN,650.2514,644.11672,645.5148,1241.70903,1.0,1.0,68,8788.3982,363.2499,68,1.0
1772124741448,SWIPE_DOWN,609.15641,249.04122,646.3238,535.82616,1.0,1.0,128,2259.245,138.0823,128,1.0
1772124758364,SWIPE_DOWN,161.32665,1045.74093,217.27155,1580.9326,1.0,1.0,223,2413.0392,178.1158,223,1.0
1772124760192,SWIPE_RIGHT,821.07055,1219.43758,1287.60124,1287.57701,1.0,1.0,104,4533.4663,734.6973,104,1.0
1772124736636,SWIPE_DOWN,913.73181,611.21209,857.01327,1004.04023,1.0,1.0,210,1890.008,293.0802,210,1.0
1772124730677,SWIPE_DOWN,691.18738,356.14859,698.17882,820.89559,1.0,1.0,174,2671.262,0,174,1.0
1772124749668,TAP,546.17381,1014.875,545.73847,1012.67802,1.0,1.0,84,0.0,0.0,84,1.0
1772124734579,SWIPE_DOWN,811.56595,477.4672,785.00896,684.60466,1.0,1.0,50,4176.6592,295.5094,50,1.0
1772124763220,SWIPE_DOWN,452.26891,1338.51203,491.30753,1852.85127,1.0,1.0,107,4820.7349,0,107,1.0
1772124742645,SWIPE_DOWN,219.55036,1693.11189,174.73373,2266.0807,1.0,1.0,114,5041.3936,133.08,114,1.0
1772124742272,TAP,240.56894,561.56291,241.01621,559.18388,1.0,1.0,94,0.0,0.0,94,1.0
1772124786397,TAP,165.33385,1616.1161,163.71935,1617.15307,1.0,1.0,131,0.0,0.0,131,1.0
1772124783184,SWIPE_UP,742.96636,929.5808,744.13552,628.67915,1.0,1.0,56,5373.2842,0,56,1.0
1772124795058,SWIPE_DOWN,93.11133,1792.1978,88.40123,2255.54553,1.0,1.0,109,4251.1162,0,109,1.0
1772124766332,SWIPE_UP,359.84745,349.17514,352.29805,-225.09875,1.0,1.0,221,2598.7489,249.2352,221,1.0
1772124755512,SWIPE_UP,438.77836,255.75263,449.27983,-228.63755,1.0,1.0,50,9690.08,141.864,50,1.0
1772124798506,SWIPE_UP,574.19223,833.97771,582.82875,327.63283,1.0,1.0,50,10128.3706,245.4107,50,1.0
1772124733144,SWIPE_UP,504.94828,676.37198,495.57989,151.83785,1.0,1.0,283,1853.7731,0,283,1.0
1772124818056,SWIPE_DOWN,766.23942,656.57921,831.65308,989.06946,1.0,1.0,50,6777.2771,621.952,50,1.0
1772124779042,SWIPE_DOWN,271.92569,1261.41903,268.21679,1778.0573,1.0,1.0,135,3827.0488,0,135,1.0
1772124770442,SWIPE_UP,477.32355,1608.73602,420.94219,1178.24471,1.0,1.0,111,3911.4211,0,111,1.0
1772124741601,SWIPE_DOWN,209.89242,744.53284,193.25035,996.85375,1.0,1.0,50,5057.3827,33.1263,50,1.0
1772124800124,TAP,926.01412,707.572,926.67794,708.26694,1.0,1.0,42,0.0,0.0,42,1.0
1772124813526,TAP,427.7178,1264.26335,428.83563,1264.95374,1.0,1.0,138,0.0,0.0,138,1.0
1772124812188,SWIPE_DOWN,310.83002,1393.8087,390.39714,1771.85092,1.0,1.0,79,4890.1872,353.4296,79,1.0
1772124825892,SWIPE_UP,763.79558,1031.70797,814.01774,527.02225,1.0,1.0,181,2802.0906,0,181,1.0
1772124775884,SWIPE_DOWN,243.72434,862.8239,245.4503,1430.62712,1.0,1.0,50,11356.1168,525.3006,50,1.0
1772124796339,SWIPE_LEFT,343.01134,1349.83474,-91.06907,1267.79654,1.0,1.0,53,8335.1834,772.361,53,1.0
1772124841928,SWIPE_RIGHT,577.19776,1326.82101,796.59072,1312.78729,1.0,1.0,50,4396.8267,1041.5017,50,1.0
1772124746821,SWIPE_UP,444.40478,567.45019,447.79336,114.42732,1.0,1.0,219,2068.6555,483.1187,219,1.0
1772124833212,TAP,302.70612,542.02269,301.30879,540.4744,1.0,1.0,103,0.0,0.0,103,1.0
1772124854965,SWIPE_DOWN,173.87543,1279.49397,142.29723,1681.56659,1.0,1.0,255,1581.6109,410.711,255,1.0
1772124839454,SWIPE_UP,797.56882,667.29555,803.80824,83.32085,1.0,1.0,121,4826.5127,86.934,121,1.0
1772124770983,SWIPE_DOWN,563.17308,1332.80008,616.04884,1754.38219,1.0,1.0,152,2795.2965,0,152,1.0
1772124765664,SWIPE_LEFT,764.86797,232.52044,399.82577,267.0576,1.0,1.0,117,3133.9518,0,117,1.0
1772124778488,TAP,77.14245,1387.76788,75.2892,1383.79414,1.0,1.0,56,0.0,0.0,56,1.0
1772124780688,SWIPE_UP,417.01995,865.94705,402.92895,642.86356,1.0,1.0,81,2759.6058,385.2746,81,1.0
1772124797939,SWIPE_UP,339.63036,717.38084,302.15229,381.30292,1.0,1.0,50,6763.2233,0,50,1.0
1772124832572,SWIPE_LEFT,740.49713,1417.84524,370.97842,1444.03788,1.0,1.0,181,2046.6622,0,181,1.0
1772124745153,SWIPE_UP,619.21987,1455.20382,659.92041,858.84739,1.0,1.0,150,3984.958,0,150,1.0
1772124826272,SWIPE_DOWN,57.13035,1341.07625,62.90879,1793.54126,1.0,1.0,243,1862.1478,24.8691,243,1.0
1772124785030,SWIPE_UP,485.37272,493.42836,460.62318,230.77773,1.0,1.0,50,5276.2826,0,50,1.0
1772124888184,SWIPE_UP,656.0487,1225.77664,680.37459,675.14862,1.0,1.0,164,3360.7628,40.8686,164,1.0
1772124818202,SWIPE_RIGHT,431.18524,1326.03269,669.73784,1319.35672,1.0,1.0,122,1956.1147,91.0253,122,1.0
1772124773544,SWIPE_LEFT,228.53742,271.798,-269.69496,264.79294,1.0,1.0,158,3153.6812,0,158,1.0
1772124791335,SWIPE_UP,577.69135,448.46162,592.61306,115.70667,1.0,1.0,74,4501.2075,0,74,1.0
1772124806972,SWIPE_DOWN,828.18058,609.63052,799.96678,1113.17795,1.0,1.0,123,4100.3027,588.5996,123,1.0
1772124874734,SWIPE_UP,900.09215,941.27322,907.56511,471.06793,1.0,1.0,157,2995.3164,9.9693,157,1.0
1772124781516,SWIPE_UP,241.40829,1645.1209,217.20118,1130.31443,1.0,1.0,72,7157.9901,893.1474,72,1.0
1772124835411,SWIPE_UP,799.67912,735.69029,800.20051,194.00744,1.0,1.0,209,2591.7852,595.2089,209,1.0
