timestamp,key_code,dwell_time_ms,flight_time_ms,is_baseline
1773662315501,31,33,43,false
1773662316009,49,77,431,false
1773662315703,52,61,40,false
1773662316671,35,59,331,false
1773662315797,29,34,40,false
1773662315936,32,47,40,false
1773662315933,51,32,40,false
1773662316152,44,53,40,false
1773662316669,34,71,75,false
1773662319497,36,38,406,false
1773662316531,37,63,40,false
1773662316722,54,71,40,false
1773662316581,38,50,40,false
1773662319245,33,44,244,false
1773662316621,35,40,40,false
1773662317001,38,60,40,false
1773662322349,41,51,377,false
1773662319870,32,52,205,false
1773662317787,42,55,72,false
1773662320023,41,76,162,false
1773662326621,32,51,505,false
1773662328164,30,45,558,false
1773662317635,49,57,40,false
1773662330221,32,33,607,false
1773662317805,45,56,40,false
1773662335976,37,30,789,false
1773662317919,43,30,63,false
1773662318363,50,66,40,false
1773662349409,37,57,1154,false
1773662351635,32,37,1209,false
1773662331041,31,40,478,false
1773662318415,53,54,40,false
1773662349645,29,38,1029,false
1773662325896,50,61,254,false
1773662334473,33,60,498,false
1773662321976,48,57,128,false
1773662323205,54,77,137,false
1773662319016,48,55,40,false
1773662344077,31,82,670,false
1773662319167,39,54,40,false
1773662319621,31,63,40,false
1773662333582,29,34,407,false
1773662379509,45,69,1455,false
1773662382237,32,77,1475,false
1773662319637,50,38,56,false
1773662381156,48,61,1398,false
1773662319687,29,51,40,false
1773662376789,41,77,1227,false
1773662320541,50,65,40,false
1773662351663,44,44,694,false
1773662350751,34,53,652,false
1773662362115,40,43,871,false
1773662344413,36,69,487,false
1773662355781,47,69,691,false
1773662345363,35,64,489,false
1773662386451,30,38,1252,false
1773662353917,46,52,634,false
1773662339840,45,80,347,false
1773662321823,42,69,40,false
1773662352612,50,45,584,false
1773662345921,51,49,458,false
1773662374122,51,69,892,false
1773662319841,44,30,40,false
1773662355758,30,86,553,false
1773662322669,41,72,40,false
1773662322651,46,70,40,false
1773662323025,29,74,40,false
1773662334596,32,38,247,false
1773662353921,39,41,524,false
1773662320331,47,30,40,false
1773662368771,38,30,731,false
1773662336588,52,46,251,false
1773662404709,31,58,1181,false
1773662345869,48,30,386,false
1773662335037,37,43,221,false
1773662323751,41,70,40,false
1773662352665,40,46,443,false
1773662370017,53,56,652,false
1773662419865,37,38,1300,false
1773662389445,45,34,902,false
1773662432701,48,67,1398,false
1773662355758,46,63,434,false
1773662391023,33,35,886,false
1773662361815,37,70,488,false
1773662322137,49,39,40,false
1773662324086,45,61,40,false
1773662324273,36,62,40,false
1773662325941,52,55,65,false
1773662402093,33,51,933,false
1773662344159,31,42,280,false
1773662325311,31,69,40,false
1773662396946,36,58,837,false
1773662321941,43,30,40,false
1773662371115,40,48,550,false
1773662334301,32,52,148,false
1773662326141,39,72,40,false
1773662430605,38,84,1115,false
1773662324813,43,56,40,false
1773662336963,44,69,150,false
1773662375297,31,58,546,false
1773662329001,53,32,103,false
1773662368324,34,30,493,false
1773662324069,53,44,40,false
1773662322711,45,30,40,false
1773662333389,41,42,130,false
1773662325266,34,53,40,false
1773662403693,34,39,793,false
1773662338292,40,41,172,false
1773662324357,33,42,40,false
1773662449680,36,59,1172,false
1773662324411,46,41,40,false
1773662353241,47,31,309,false
1773662327373,51,66,40,false
1773662327140,32,63,40,false
1773662327129,53,62,40,false
1773662328611,42,74,40,false
1773662394149,47,32,646,false
1773662375054,33,60,449,false
1773662359869,29,35,341,false
1773662376072,29,81,428,false
1773662409101,45,66,714,false
1773662387496,51,45,550,false
1773662365887,31,49,364,false
1773662357075,31,59,279,false
1773662325049,43,37,40,false
1773662328126,54,61,40,false
1773662476529,49,50,1228,false
1773662429928,39,58,843,false
1773662341101,31,53,147,false
1773662489522,50,61,1288,false
1773662408451,34,60,655,false
1773662326374,39,43,40,false
1773662327513,34,51,40,false
1773662406340,51,30,653,false
1773662466653,45,53,1075,false
1773662360051,42,68,262,false
1773662502501,36,60,1315,false
1773662498396,44,47,1288,false
1773662392229,41,63,493,false
1773662620606,33,53,2142,false
1773662396981,34,70,512,false
1773662365133,29,46,306,false
1773662456223,53,65,926,false
1773662533862,33,44,1483,false
1773662332925,34,81,40,false
1773662331741,39,43,69,false
1773662331269,47,68,40,false
1773662331965,52,30,82,false
