timestamp,key_code,dwell_time_ms,flight_time_ms,is_baseline
1773662270828,50,30,602,false
1773662270906,35,38,40,false
1773662270972,38,32,40,false
1773662271086,38,30,56,false
1773662271168,42,45,40,false
1773662271553,35,55,90,false
1773662271422,53,59,40,false
1773662273201,50,35,304,false
1773662271452,51,38,40,false
1773662271683,30,55,40,false
1773662277898,42,30,677,false
1773662271752,34,44,40,false
1773662271860,34,46,40,false
1773662271803,51,35,40,false
1773662281580,39,30,738,false
1773662272148,36,39,49,false
1773662280396,50,30,568,false
1773662283782,51,30,732,false
1773662289152,51,30,988,false
1773662284641,48,49,678,false
1773662272288,40,33,40,false
1773662299619,54,38,1333,false
1773662272368,33,30,40,false
1773662284927,38,43,570,false
1773662289284,38,40,729,false
1773662298653,40,59,1054,false
1773662289002,45,30,669,false
1773662290673,50,35,700,false
1773662272788,54,30,40,false
1773662272858,38,30,40,false
1773662273108,31,36,40,false
1773662289800,51,37,575,false
1773662273324,47,38,40,false
1773662286965,51,30,459,false
1773662292418,51,39,596,false
1773662273978,34,50,40,false
1773662327528,43,70,1505,false
1773662304202,42,30,872,false
1773662285534,42,30,357,false
1773662273558,53,30,40,false
1773662293308,52,54,508,false
1773662344423,41,30,1765,false
1773662282630,32,30,251,false
1773662380521,31,30,2521,false
1773662276900,38,36,102,false
1773662275103,38,55,40,false
1773662274048,38,30,40,false
1773662301989,32,41,622,false
1773662274620,41,39,40,false
1773662294936,32,50,442,false
1773662275328,33,50,40,false
1773662274398,41,30,40,false
1773662274884,47,38,40,false
1773662274538,36,30,40,false
1773662364464,51,47,1687,false
1773662274898,48,34,40,false
1773662346372,39,35,1314,false
1773662314547,43,30,737,false
1773662276454,34,57,40,false
1773662275430,44,38,40,false
1773662275028,38,30,40,false
1773662275098,30,30,40,false
1773662301332,41,30,462,false
1773662276057,46,43,40,false
1773662275628,33,35,40,false
1773662298128,42,68,352,false
1773662275448,43,30,40,false
1773662286908,38,33,207,false
1773662276608,46,45,40,false
1773662300360,47,56,372,false
1773662289028,41,55,205,false
1773662292980,44,49,263,false
1773662275868,45,30,40,false
1773662335214,43,62,820,false
1773662341276,31,49,903,false
1773662304578,35,64,386,false
1773662278124,53,56,40,false
1773662345672,29,34,938,false
1773662293604,52,53,239,false
1773662277780,45,48,40,false
1773662276428,43,30,40,false
1773662313110,36,61,461,false
1773662320438,29,75,530,false
1773662298550,50,70,264,false
1773662410604,37,52,1612,false
1773662277203,45,35,40,false
1773662359666,43,49,984,false
1773662277092,42,32,40,false
1773662317204,35,34,493,false
1773662339180,45,48,720,false
1773662277128,38,30,40,false
1773662277198,32,30,40,false
1773662351696,46,47,832,false
1773662277338,48,30,40,false
1773662303070,45,35,308,false
1773662280138,33,58,40,false
1773662324780,45,30,532,false
1773662335042,45,53,609,false
1773662282490,34,30,89,false
1773662277758,29,30,40,false
1773662303828,43,30,300,false
1773662295472,31,51,193,false
1773662316932,46,30,422,false
1773662279068,38,40,40,false
1773662306292,46,30,311,false
1773662335928,45,35,585,false
1773662326160,47,30,492,false
1773662323686,40,47,447,false
1773662278820,54,34,40,false
1773662280311,47,47,40,false
1773662324288,54,50,436,false
1773662361404,49,35,781,false
1773662280684,29,48,40,false
1773662278738,53,30,40,false
1773662350286,51,30,667,false
1773662432173,44,37,1366,false
1773662282428,45,60,40,false
1773662282177,34,57,40,false
1773662410304,46,30,1152,false
1773662332113,47,35,480,false
1773662279348,52,31,40,false
