timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,azimuth,filtered_accel_x,filtered_accel_y,filtered_accel_z,device_state
1773662343787,0.7884917,3.7071689,8.1890979,-0.00677197,0.00894301,0.00383897,24.256883,5.012935,0.0,0.7835713,3.7053757,8.1914238,STATIONARY
1773662343853,0.8087718,3.69303,8.1971417,-0.00893612,0.01227954,0.00304801,24.149057,5.140326,0.0,0.8028374,3.6919437,8.1990655,STATIONARY
1773662343919,0.8676836,3.7256448,8.1461254,-0.0026672,0.01411743,-0.00137139,24.455054,5.53269,0.0,0.8588036,3.7229278,8.1505999,ON_TABLE
1773662343985,0.8968736,3.7826092,8.0940648,-0.00343029,0.01263533,0.00430229,24.914323,5.732447,0.0,0.8865341,3.777044,8.1011424,ON_TABLE
1773662344051,0.9351362,3.7724937,8.1233143,0.00180224,0.00503714,0.00454583,24.766539,5.96054,0.0,0.9228835,3.7674342,8.1289294,ON_TABLE
1773662344117,0.9626495,3.7275906,8.0988806,0.00200012,0.00548082,0.00112044,24.562425,6.162601,0.0,0.9490211,3.7247763,8.1057173,STATIONARY
1773662344183,0.8643773,3.7565663,8.1122476,0.00469269,0.00600064,0.00466694,24.724505,5.522674,0.0,0.8556626,3.7523033,8.118416,ON_TABLE
1773662344249,0.8460539,3.7526541,8.1068902,-9.497e-05,0.00740302,0.0021601,24.721176,5.410217,0.0,0.8382553,3.7485866,8.1133265,STATIONARY
1773662344315,0.8608262,3.7438319,8.1463594,-0.0020584,0.01114013,0.0025199,24.561663,5.484491,0.0,0.852289,3.7402055,8.1508222,ON_TABLE
1773662344381,0.8478218,3.650609,8.1441814,0.00507857,0.00903808,-0.00044716,24.029139,5.426508,0.0,0.8399349,3.6516438,8.1487532,ON_TABLE
1773662344447,0.8339256,3.6395429,8.1565955,3.538e-05,0.01269027,0.00337514,23.936177,5.334033,0.0,0.8267335,3.641131,8.1605465,ON_TABLE
