timestamp,touch_type,start_x,start_y,end_x,end_y,pressure,touch_size,duration_ms,velocity,acceleration,hold_duration_ms,touch_area
1773662386223,SWIPE_DOWN,744.74039,1190.92862,773.18716,1418.97654,1.0,1.0,118,1947.5872,0,0,1.0
1773662387682,SWIPE_DOWN,526.09578,1521.67724,506.56948,1974.82529,1.0,1.0,104,4361.2361,315.5612,0,1.0
1773662387347,TAP,275.69645,1564.73228,275.69645,1564.73228,1.0,1.0,98,0.0,0.0,98,1.0
1773662389016,TAP,848.14036,1004.88053,848.14036,1004.88053,1.0,1.0,43,0.0,0.0,43,1.0
1773662390303,TAP,398.02446,1423.01557,398.02446,1423.01557,1.0,1.0,58,0.0,0.0,58,1.0
1773662394973,TAP,360.6565,1281.68401,360.6565,1281.68401,1.0,1.0,60,0.0,0.0,60,1.0
1773662390663,SWIPE_RIGHT,456.78696,1260.56232,661.0557,1265.43164,1.0,1.0,100,2043.2677,0,0,1.0
1773662397668,TAP,494.43297,481.8717,494.43297,481.8717,1.0,1.0,38,0.0,0.0,38,1.0
1773662400839,SWIPE_RIGHT,827.41685,498.34115,1149.70973,507.59016,1.0,1.0,59,5464.84,9.1751,0,1.0
1773662394674,TAP,429.05298,1464.48425,429.05298,1464.48425,1.0,1.0,65,0.0,0.0,65,1.0
1773662402863,TAP,837.28255,734.00194,837.28255,734.00194,1.0,1.0,40,0.0,0.0,40,1.0
1773662394572,TAP,872.06387,844.59663,872.06387,844.59663,1.0,1.0,64,0.0,0.0,64,1.0
1773662395835,TAP,200.89443,1791.62438,200.89443,1791.62438,1.0,1.0,55,0.0,0.0,55,1.0
1773662395843,SWIPE_UP,761.34563,216.4982,779.63527,-71.93819,1.0,1.0,40,7225.392,32.6433,0,1.0
1773662398823,TAP,607.57418,973.93387,607.57418,973.93387,1.0,1.0,32,0.0,0.0,32,1.0
1773662415053,LONG_PRESS,666.38391,247.99135,666.38391,247.99135,1.0,1.0,684,0.0,0.0,684,1.0
1773662403087,SWIPE_DOWN,826.41775,1409.32057,810.1642,1641.34073,1.0,1.0,40,5814.7192,93.9976,0,1.0
1773662418795,TAP,620.21022,403.97376,620.21022,403.97376,1.0,1.0,94,0.0,0.0,94,1.0
1773662415347,SWIPE_UP,140.64005,543.61596,122.72404,287.00123,1.0,1.0,40,6430.9847,0,0,1.0
1773662405147,SCROLL,332.9297,396.38952,324.44621,335.74035,1.0,1.0,377,160.8731,152.8815,0,1.0
1773662426203,TAP,790.1209,874.11162,790.1209,874.11162,1.0,1.0,76,0.0,0.0,76,1.0
1773662406698,SCROLL,589.37505,1356.92478,586.37543,1119.71445,1.0,1.0,312,760.2895,229.433,0,1.0
1773662406265,SWIPE_DOWN,456.67576,439.52101,503.69323,858.71663,1.0,1.0,73,5778.413,0,0,1.0
1773662401495,TAP,785.17407,1222.8884,785.17407,1222.8884,1.0,1.0,71,0.0,0.0,71,1.0
1773662412575,SCROLL,267.47748,1178.56458,252.69083,958.71884,1.0,1.0,330,666.1992,319.9298,0,1.0
1773662432498,TAP,485.18614,1257.62846,485.18614,1257.62846,1.0,1.0,96,0.0,0.0,96,1.0
1773662437677,SCROLL,310.62286,269.30558,307.97715,208.26562,1.0,1.0,353,172.9177,263.1745,0,1.0
1773662412899,TAP,121.10432,1132.30864,121.10432,1132.30864,1.0,1.0,16,0.0,0.0,16,1.0
1773662427411,TAP,647.31862,1320.197,647.31862,1320.197,1.0,1.0,57,0.0,0.0,57,1.0
1773662409742,TAP,655.09783,377.40001,655.09783,377.40001,1.0,1.0,43,0.0,0.0,43,1.0
1773662433293,TAP,651.55615,394.98457,651.55615,394.98457,1.0,1.0,49,0.0,0.0,49,1.0
1773662433746,TAP,575.16086,1778.06142,575.16086,1778.06142,1.0,1.0,40,0.0,0.0,40,1.0
1773662434607,TAP,691.5943,1509.55385,691.5943,1509.55385,1.0,1.0,55,0.0,0.0,55,1.0
