timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,azimuth,filtered_accel_x,filtered_accel_y,filtered_accel_z,device_state
1773662285781,-0.0786537,1.8745698,7.4486639,-0.00745411,-0.01272403,-0.00726301,14.125251,-0.586696,0.0,-0.0770646,1.8728061,7.4523801,STATIONARY
1773662285847,-0.1335553,1.8614669,7.4229289,-0.0095849,-0.01764733,-0.0087589,14.075709,-0.999817,0.0,-0.1292211,1.8603583,7.4279318,STATIONARY
1773662285913,-0.0996382,1.867524,7.3727211,-0.00891402,-0.01238129,-0.0068634,14.212914,-0.750571,0.0,-0.0969999,1.8661126,7.3802344,ON_TABLE
1773662285979,-0.1322454,1.8487828,7.3467094,-0.00935874,-0.00779168,-0.00979075,14.122868,-1.000076,0.0,-0.1279767,1.8483084,7.3555234,ON_TABLE
1773662286045,-0.2136543,1.6545365,7.4046612,-0.01296843,-0.0096735,-0.00556883,12.590495,-1.613001,0.0,-0.2053152,1.6637744,7.4105775,ON_TABLE
1773662286111,-0.2480508,1.6795773,7.4079039,-0.01718246,-0.00941206,-0.00351108,12.767649,-1.870374,0.0,-0.2379919,1.6875631,7.4136581,ON_TABLE
1773662286177,-0.2902382,1.595757,7.3295985,-0.01518287,-0.00825652,-0.00324037,12.273107,-2.215768,0.0,-0.2780699,1.6079339,7.339268,STATIONARY
1773662286243,-0.3244786,1.6318103,7.3303011,-0.01510104,-0.01131092,-0.004296,12.538178,-2.474082,0.0,-0.3105983,1.6421845,7.3399354,ON_TABLE
1773662286309,-0.2258483,1.5784322,7.3391873,-0.01779179,-0.01420407,-0.00582678,12.13209,-1.723224,0.0,-0.2168995,1.5914754,7.3483773,ON_TABLE
1773662286375,-0.1373378,1.6451441,7.4206173,-0.02045216,-0.01541951,0.00142396,12.498169,-1.035158,0.0,-0.1328146,1.6548517,7.4257359,STATIONARY
1773662286441,-0.2040299,1.6304441,7.4645459,-0.02058215,-0.01494808,0.00561809,12.316861,-1.52964,0.0,-0.196172,1.6408867,7.4674681,ON_TABLE
1773662286507,-0.2799571,1.6115557,7.5341617,-0.02063407,-0.01698,0.00330239,12.065532,-2.081007,0.0,-0.2683029,1.6229427,7.533603,ON_TABLE
1773662286573,-0.2469837,1.6096314,7.5653687,-0.02289712,-0.01412772,0.0021257,12.005112,-1.82894,0.0,-0.2369782,1.6211145,7.5632497,STATIONARY
1773662286639,-0.190516,1.678192,7.5754892,-0.02066385,-0.01089519,5.482e-05,12.487138,-1.406542,0.0,-0.1833338,1.6862471,7.5728642,STATIONARY
1773662286705,-0.1732178,1.6345343,7.5765587,-0.0180854,-0.00768885,0.00348575,12.17108,-1.280244,0.0,-0.1669006,1.6447724,7.5738802,STATIONARY
1773662286771,-0.15263,1.7754855,7.5929697,-0.01954024,-0.0090661,-0.00145075,13.158594,-1.121335,0.0,-0.1473421,1.7786759,7.5894707,ON_TABLE
1773662286837,-0.1399226,1.7110997,7.5591764,-0.01627127,-0.00198356,-0.00487015,12.752449,-1.03428,0.0,-0.1352701,1.7175095,7.557367,ON_TABLE
1773662286903,-0.1421867,1.6535074,7.5852457,-0.0180701,-0.01173997,-0.0065021,12.295428,-1.049258,0.0,-0.137421,1.6627968,7.5821328,ON_TABLE
1773662286969,-0.2292154,1.6605864,7.5942833,-0.01519334,-0.00825489,-0.00579563,12.32887,-1.688931,0.0,-0.2200982,1.6695218,7.5907186,ON_TABLE
1773662287035,-0.2540335,1.6256554,7.5288111,-0.01616448,-0.00840563,-0.00062576,12.177781,-1.889012,0.0,-0.2436754,1.6363374,7.52852,ON_TABLE
1773662287101,-0.1966995,1.6154622,7.5835586,-0.01668097,-0.00843773,0.00020581,12.021568,-1.453192,0.0,-0.1892082,1.6266539,7.5805301,STATIONARY
1773662287167,-0.177476,1.6425208,7.6054983,-0.01969926,-0.00982113,0.00129595,12.183495,-1.306654,0.0,-0.1709458,1.6523595,7.6013728,STATIONARY
1773662287233,-0.1842203,1.6651374,7.6527424,-0.02098024,-0.00355655,0.00046,12.272033,-1.347467,0.0,-0.1773529,1.6738453,7.6462547,ON_TABLE
1773662287299,-0.1764917,1.6784535,7.6729391,-0.02163304,-0.00711017,-0.00208906,12.33591,-1.287248,0.0,-0.1700107,1.6864955,7.6654416,ON_TABLE
1773662287365,-0.1376271,1.7069786,7.6971278,-0.0218284,-0.00041349,-0.00088197,12.502083,-1.000066,0.0,-0.1330893,1.7135944,7.6884208,ON_TABLE
1773662287431,-0.0920004,1.6523942,7.6467321,-0.02013602,-0.00100739,0.00234104,12.192789,-0.673762,0.0,-0.089744,1.6617393,7.6405449,ON_TABLE
1773662287497,-0.1524377,1.658293,7.6316698,-0.01761719,-0.00642426,0.00342784,12.256914,-1.118208,0.0,-0.1471595,1.6673431,7.6262357,STATIONARY
1773662287563,-0.1530432,1.7040132,7.5900738,-0.0153794,-0.00829865,0.0061137,12.650923,-1.127085,0.0,-0.1477347,1.7107772,7.5867196,STATIONARY
