timestamp,key_code,dwell_time_ms,flight_time_ms,is_baseline
1773662310350,33,90,708,false
1773662311112,36,107,655,false
1773662311414,41,69,463,false
1773662315783,31,86,1725,false
1773662321330,44,64,2681,false
1773662317465,53,110,1313,false
1773662323160,48,53,2082,false
1773662311029,47,57,40,false
1773662322454,32,87,1426,false
1773662323517,52,42,1421,false
1773662332290,29,72,2122,false
1773662333318,34,84,2004,false
1773662311982,51,96,40,false
1773662322596,35,89,853,false
1773662321536,49,34,765,false
1773662332685,46,105,1384,false
1773662312574,44,99,40,false
1773662370394,34,75,3457,false
1773662342732,37,79,1720,false
1773662312896,29,94,40,false
1773662347090,46,57,1780,false
1773662366252,38,74,2588,false
1773662334792,39,55,1056,false
1773662348277,34,75,1574,false
1773662342342,39,86,1247,false
1773662366975,42,99,2166,false
1773662321244,41,91,328,false
1773662336648,39,86,888,false
1773662313710,54,80,40,false
1773662345527,48,61,1152,false
1773662382200,38,51,2344,false
1773662313822,44,72,40,false
1773662329934,50,49,563,false
1773662358629,30,61,1402,false
1773662391304,54,90,2291,false
1773662359420,48,80,1322,false
1773662335550,31,88,612,false
1773662360004,38,89,1253,false
1773662348730,35,113,897,false
1773662325326,44,98,286,false
1773662315990,47,101,40,false
1773662399279,37,60,2109,false
1773662441432,44,81,3040,false
1773662383364,29,90,1608,false
1773662314486,36,54,40,false
1773662316155,46,89,40,false
1773662342182,35,95,597,false
1773662325484,29,89,233,false
1773662326334,54,42,291,false
1773662353225,34,87,788,false
1773662349300,48,45,734,false
1773662316827,48,87,40,false
1773662375142,48,47,1199,false
1773662350736,34,65,697,false
1773662455016,43,59,2620,false
1773662355065,51,83,730,false
1773662486918,45,75,3078,false
1773662361308,29,76,818,false
1773662503084,34,102,3221,false
1773662339378,54,48,444,false
1773662419370,34,38,1779,false
